source_id,citation,title,year,authors,publisher_or_institution,venue_or_series,doi,url,source_tier,document_type,pdf_filename,page_count,text_extractable,chunk_count,metadata_completeness,bibliography_entry,redistribution_status,notes
fu_ir8hyn25gaatz92,"China MOST, Ethical Norms for New Generation Artificial Intelligence",Ethical Norms for New Generation Artificial Intelligence,2017,,,,,,Wider supporting literature,corpus PDF,fu_ir8hyn25gaatz92.pdf,6,True,7,0.62,"China MOST, Ethical Norms for New Generation Artificial Intelligence (2017). Ethical Norms for New Generation Artificial Intelligence.",included in repository with project clearance,
gino_etal_2009,Gino et al. (2009),Gino et al. (2009),2009,"""Francesca Gino; Jen Shang; Rachel Croson""",,,10.1016/j.obhdp.2008.08.002,https://doi.org/10.1016/j.obhdp.2008.08.002,Wider supporting literature,corpus PDF,gino_etal_2009.pdf,16,True,48,0.85,"""Francesca Gino, Jen Shang, Rachel Croson"" (2009). Gino et al. (2009). https://doi.org/10.1016/j.obhdp.2008.08.002.",included in repository with project clearance,
hagendorf2019,Hagendorff (2019),Hagendorff (2019),2019,Thilo Hagendorff,,,10.1007/s11023-020-09517-8,https://doi.org/10.1007/s11023-020-09517-8,Wider supporting literature,corpus PDF,hagendorf2019.pdf,22,True,42,0.85,Thilo Hagendorff (2019). Hagendorff (2019). https://doi.org/10.1007/s11023-020-09517-8.,included in repository with project clearance,
robots-should-be-slaves,"Bryson, Robots Should Be Slaves","Bryson, Robots Should Be Slaves",1997,,,,,,Wider supporting literature,corpus PDF,robots-should-be-slaves.pdf,12,True,18,0.62,"Bryson, Robots Should Be Slaves (1997).",included in repository with project clearance,
robustness and explainability of artificial intelligence-KJNA30040ENN,Robustness and Explainability of Artificial Intelligence,Robustness and Explainability of Artificial Intelligence,2020,BAILEY Gianluca (JRC-ISPRA),,,10.2760/57493,https://doi.org/10.2760/57493,Wider supporting literature,corpus PDF,robustness and explainability of artificial intelligence-KJNA30040ENN.pdf,40,True,58,0.85,BAILEY Gianluca (JRC-ISPRA) (2020). Robustness and Explainability of Artificial Intelligence. https://doi.org/10.2760/57493.,included in repository with project clearance,
rsta.2018.0085,Philosophical Transactions A article 2018.0085,Philosophical Transactions A article 2018.0085,2018,,,,10.1098/rsta.2018.0085,https://doi.org/10.1098/rsta.2018.0085,Wider supporting literature,corpus PDF,rsta.2018.0085.pdf,13,True,23,0.77,Philosophical Transactions A article 2018.0085. https://doi.org/10.1098/rsta.2018.0085.,included in repository with project clearance,
s10676-020-09573-9,Ethics and Information Technology article 09573-9,Ethics and Information Technology article 09573-9,2018,Amanda Sharkey,,,10.1007/s10676-020-09573-9,https://doi.org/10.1007/s10676-020-09573-9,Wider supporting literature,corpus PDF,s10676-020-09573-9.pdf,8,True,23,0.85,Amanda Sharkey (2018). Ethics and Information Technology article 09573-9. https://doi.org/10.1007/s10676-020-09573-9.,included in repository with project clearance,
s11623-019-1183-6,AI & Society article 1183-6,AI & Society article 1183-6,2019,,,,,,Wider supporting literature,corpus PDF,s11623-019-1183-6.pdf,1,True,3,0.62,AI & Society article 1183-6 (2019).,included in repository with project clearance,
s11948-019-00146-8,Science and Engineering Ethics article 00146-8,Science and Engineering Ethics article 00146-8,2018,Mark Coeckelbergh,,,10.1007/s11948-019-00146-8,https://doi.org/10.1007/s11948-019-00146-8,Wider supporting literature,corpus PDF,s11948-019-00146-8.pdf,18,True,30,0.85,Mark Coeckelbergh (2018). Science and Engineering Ethics article 00146-8. https://doi.org/10.1007/s11948-019-00146-8.,included in repository with project clearance,
s13347-021-00454-7,List (2021),Group Agency and Artificial Intelligence,2021,Christian List,,,10.1007/s13347-021-00454-7,https://doi.org/10.1007/s13347-021-00454-7,Wider supporting literature,corpus PDF,s13347-021-00454-7.pdf,30,True,51,0.85,Christian List (2021). Group Agency and Artificial Intelligence. https://doi.org/10.1007/s13347-021-00454-7.,included in repository with project clearance,
s13347-024-00718-y,Philosophy & Technology article 00718-y,Philosophy & Technology article 00718-y,2021,Isaac Taylor,,,10.1007/s13347-024-00718-y,https://doi.org/10.1007/s13347-024-00718-y,Wider supporting literature,corpus PDF,s13347-024-00718-y.pdf,18,True,31,0.85,Isaac Taylor (2021). Philosophy & Technology article 00718-y. https://doi.org/10.1007/s13347-024-00718-y.,included in repository with project clearance,
s41599-025-04532-5,Humanities and Social Sciences Communications article 04532-5,Humanities and Social Sciences Communications article 04532-5,2025,Hannah Rose Kirk,,,10.1057/s41599-025-04532-5,https://doi.org/10.1057/s41599-025-04532-5,Wider supporting literature,corpus PDF,s41599-025-04532-5.pdf,9,True,32,0.85,Hannah Rose Kirk (2025). Humanities and Social Sciences Communications article 04532-5. https://doi.org/10.1057/s41599-025-04532-5.,included in repository with project clearance,
s43681-022-00167-3,Siebert et al. (2023),Meaningful Human Control: Actionable Properties for AI System Development,2023,Luciano Cavalcante Siebert,,,10.1007/s43681-022-00167-3,https://doi.org/10.1007/s43681-022-00167-3,Wider supporting literature,corpus PDF,s43681-022-00167-3.pdf,15,True,40,0.85,Luciano Cavalcante Siebert (2023). Meaningful Human Control: Actionable Properties for AI System Development. https://doi.org/10.1007/s43681-022-00167-3.,included in repository with project clearance,
s43681-024-00419-4,Placani (2024),Anthropomorphism in AI: Hype and Fallacy,2024,Adriana Placani,,,10.1007/s43681-024-00419-4,https://doi.org/10.1007/s43681-024-00419-4,Wider supporting literature,corpus PDF,s43681-024-00419-4.pdf,8,True,22,0.85,Adriana Placani (2024). Anthropomorphism in AI: Hype and Fallacy. https://doi.org/10.1007/s43681-024-00419-4.,included in repository with project clearance,
s43681-025-00749-x,Bolgouras et al. (2025),EU Regulatory Ecosystem for Ethical AI,2025,,,,10.1007/s43681-025-00749-x,https://doi.org/10.1007/s43681-025-00749-x,Wider supporting literature,corpus PDF,s43681-025-00749-x.pdf,18,True,40,0.77,Bolgouras et al. (2025). EU Regulatory Ecosystem for Ethical AI. https://doi.org/10.1007/s43681-025-00749-x.,included in repository with project clearance,
sniezekBuckly1995,SniezekBuckly1995,SniezekBuckly1995,1999,,,,,,Wider supporting literature,corpus PDF,sniezekBuckly1995.pdf,16,False,0,0.62,SniezekBuckly1995 (1999).,included in repository with project clearance,
sniezek_vanSwol2001,Sniezek and Van Swol (2001),Sniezek and Van Swol (2001),2001,Janet A. Sniezek; Lyn M. Van Swol,,,10.1006/obhd.2000.2926,https://doi.org/10.1006/obhd.2000.2926,Wider supporting literature,corpus PDF,sniezek_vanSwol2001.pdf,20,True,28,0.85,"Janet A. Sniezek, Lyn M. Van Swol (2001). Sniezek and Van Swol (2001). https://doi.org/10.1006/obhd.2000.2926.",included in repository with project clearance,
understanding_artificial_intelligence_ethics_and_safety,"Leslie (2019), Understanding Artificial Intelligence Ethics and Safety","Leslie (2019), Understanding Artificial Intelligence Ethics and Safety",2019,,,,10.5281/zenodo.3240529,https://doi.org/10.5281/zenodo.3240529,Wider supporting literature,corpus PDF,understanding_artificial_intelligence_ethics_and_safety.pdf,97,True,132,0.77,"Leslie (2019), Understanding Artificial Intelligence Ethics and Safety. https://doi.org/10.5281/zenodo.3240529.",included in repository with project clearance,
winfield-et-al-2025,Winfield et al. (2025),Winfield et al. (2025),2025,,,,10.1098/rsta.2024.0142,https://doi.org/10.1098/rsta.2024.0142,Wider supporting literature,corpus PDF,winfield-et-al-2025.pdf,24,True,40,0.77,Winfield et al. (2025). https://doi.org/10.1098/rsta.2024.0142.,included in repository with project clearance,
《新一代人工智能伦理规范》发布-中华人民共和国科学技术部,"China Ministry of Science and Technology, New Generation AI Ethics Norms","China Ministry of Science and Technology, New Generation AI Ethics Norms",2026,,,,,,Wider supporting literature,corpus PDF,《新一代人工智能伦理规范》发布-中华人民共和国科学技术部.pdf,4,True,1,0.62,"China Ministry of Science and Technology, New Generation AI Ethics Norms (2026).",included in repository with project clearance,
